word,kind,reading,level
str,略語,stringの略,abbreviation
sync,略語,synchronization（同期）の略,abbreviation
temp,略語,temporaryの略,abbreviation
tmp,略語,temporaryの略,abbreviation
usr,略語,userの略,abbreviation
utils,略語,utilities（ユーティリティー）の略,abbreviation
val,略語,valueの略,abbreviation
var,略語,variableの略,abbreviation
vars,略語,variablesの略,abbreviation
API,頭文字,Application Programming Interfaceのこと,initial
CI,頭文字,Continuous Integrationのこと,initial
CLI,頭文字,Command Line Interfaceのこと,initial
CPU,頭文字,Central Processing Unitのこと,initial
CSS,頭文字,Cascading Style Sheetのこと,initial
DNS,頭文字,Domain Name Systemのこと,initial
DOM,頭文字,Document Object Modelのこと,initial
HTML,頭文字,HyperText Markup Languageのこと,initial
HTTP,頭文字,HyperText Transfer Protocolのこと,initial
HTTPS,頭文字,HyperText Transfer Protocol Secureのこと,initial
IDE,頭文字,Integrated Development Environmentのこと,initial
IE,頭文字,Internet Explorerのこと,initial
IO,頭文字,Input/Outputのこと,initial
IP,頭文字,Internet Protocolのこと,initial
JSON,頭文字,JavaScript Object Notationのこと,initial
NFC,頭文字,Near Field Communicationのこと,initial
OS,頭文字,Operating Systemのこと,initial
RE,頭文字,Regular Expressionのこと,initial
RGB,頭文字,Red Green Blueのこと,initial
SDK,頭文字,Software Development Kitのこと,initial
SQL,頭文字,Structured Query Languageのこと,initial
SSH,頭文字,Secure SHellのこと,initial
SSL,頭文字,Secure Sockets Layerのこと,initial
UI,頭文字,User Interfaceのこと,initial
URI,頭文字,Uniform Resource Identifierのこと,initial
URL,頭文字,Uniform Resource Locatorのこと,initial
VM,頭文字,Virtual Machineのこと,initial
WIP,頭文字,Work In Progress（作業中）のこと,initial
WWW,頭文字,World Wide Webのこと,initial
XML,頭文字,eXtensible Markup Languageのこと,initial
